Subject,"networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.SensoriMotor.Lateral (R) (56,-10,29)","networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.SensoriMotor.Superior  (0,-31,67)","networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.Visual.Medial (2,-79,12)","networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.Visual.Occipital (0,-93,-4)","networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.Visual.Lateral (L) (-37,-79,10)","networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.Visual.Lateral (R) (38,-72,13)","networks.SensoriMotor.Lateral (R) (56,-10,29)-networks.SensoriMotor.Superior  (0,-31,67)","networks.SensoriMotor.Lateral (R) (56,-10,29)-networks.Visual.Medial (2,-79,12)","networks.SensoriMotor.Lateral (R) (56,-10,29)-networks.Visual.Occipital (0,-93,-4)","networks.SensoriMotor.Lateral (R) (56,-10,29)-networks.Visual.Lateral (L) (-37,-79,10)","networks.SensoriMotor.Lateral (R) (56,-10,29)-networks.Visual.Lateral (R) (38,-72,13)","networks.SensoriMotor.Superior  (0,-31,67)-networks.Visual.Medial (2,-79,12)","networks.SensoriMotor.Superior  (0,-31,67)-networks.Visual.Occipital (0,-93,-4)","networks.SensoriMotor.Superior  (0,-31,67)-networks.Visual.Lateral (L) (-37,-79,10)","networks.SensoriMotor.Superior  (0,-31,67)-networks.Visual.Lateral (R) (38,-72,13)","networks.Visual.Medial (2,-79,12)-networks.Visual.Occipital (0,-93,-4)","networks.Visual.Medial (2,-79,12)-networks.Visual.Lateral (L) (-37,-79,10)","networks.Visual.Medial (2,-79,12)-networks.Visual.Lateral (R) (38,-72,13)","networks.Visual.Occipital (0,-93,-4)-networks.Visual.Lateral (L) (-37,-79,10)","networks.Visual.Occipital (0,-93,-4)-networks.Visual.Lateral (R) (38,-72,13)","networks.Visual.Lateral (L) (-37,-79,10)-networks.Visual.Lateral (R) (38,-72,13)"
19,1.0004085893264,-0.129617610195503,-0.490190505043281,0.609674526512592,0.096517889259201,0.450940200250459,0.141419180143002,0.165103956560227,0.6734615879426,0.226169214995992,0.600431765704914,0.581321762758663,-0.353901689986706,-0.416191592221427,-0.552668709400782,-0.176416022590195,0.0053979713502857,-0.105106486057453,1.30694844722776,1.75597141602531,1.20543046592104
20,2.31252961878487,2.15336348233732,1.08398725224741,0.903609386571015,0.803542654189778,0.801216075537727,1.86245241949668,0.941545079275466,0.811287658514516,0.625696919937288,0.643615085834547,1.2963329363288,0.992101301941909,0.851872186083602,0.845603912526049,1.1086418241557,1.44234196954507,1.43812050755422,0.946037866546684,1.20412260726585,2.21277402959672
21,0.99171444748244,0.190569661688689,0.20023533107909,-0.118389132879154,0.408371202205942,0.462372549036522,0.978887026365715,0.818688031298437,0.333031657525053,0.653334712639917,0.904430805774367,1.58240803362561,0.970488960438996,0.773128719694872,1.02940981481716,1.36946328302468,1.2407577560085,1.49223576488954,1.23443204218739,1.17850801097245,2.10051109313881
22,1.91323492609396,0.470478847943819,0.717473387466246,-0.459468807767884,0.690671610056184,1.06419210081167,0.782331649643698,0.662652078752522,-0.598486698236483,0.641964193186448,0.982511690238929,0.58407657643132,-0.268677127582471,0.465411328058923,0.512802198672882,0.364596060846426,1.47868753022065,1.30546685098869,0.227754288267397,0.0241513174347812,1.77140030034211
23,1.11603092912839,0.743563498080358,-0.968953598573992,-0.261348791581369,0.0803176217511966,-0.170652223339202,0.545810398735348,-0.596309055487435,-0.397389744965076,-0.0643195585216765,-0.358513348807898,-0.537226611997589,0.0954132782773408,0.371416451534009,0.158428371266503,0.762661104389815,0.423686027516596,0.690483703593284,1.57381509972736,2.51345435842644,1.73599585786399
24,1.28216437185154,1.25046514043884,0.0338525296889809,-0.0740171643291284,0.413827889266401,-0.656764925940264,1.20372925142754,-0.384986344070562,-0.0212707192128062,0.359347816253731,-0.765472408414424,0.175743096991536,0.17449702576542,0.957538198781382,-0.29659937878674,0.180386120572668,0.587496379097299,0.602355742263276,0.436066951817787,0.628719784422024,0.422016434446237
25,0.300990375662693,-0.492054215501914,-0.65421175778503,-0.572507308833288,-0.403677030979886,-0.842887297899921,0.183483788290224,-0.09452891438692,-0.244259584904979,-0.119308622722724,-0.237681908395648,1.44746247265129,0.774796284296841,0.585318842412969,0.856704046642842,1.38731539413979,1.08962284136306,1.46867722601536,1.67554351767982,1.85807036354421,1.18743202941794
26,3.15311402478263,0.92946468719797,0.34068550010747,1.40034185026246,0.586121788976357,0.962700055780342,0.869419961354028,0.389234841657933,1.44672403535548,0.561128717647303,0.881451055807659,0.469037841586793,0.715322387560903,0.627631713719566,1.12480885702427,0.522288614696897,0.558184418062348,0.359950472046725,0.832120115914478,0.861281288449633,1.36346427148993
27,0.848560010949219,0.147554769773252,-0.134140632487612,-0.207257058331738,-0.676030120371715,-0.285469901445136,0.035271232318372,-0.153168409189625,0.0859179313893054,0.0845062257657208,0.262908620125479,-0.2210335326035,-0.794804204832728,-0.250929987524797,0.0163041687965092,0.686664176557788,-0.153309540261267,-0.0490478013806561,0.451460010145052,0.576527048663822,0.843154378410005
28,1.41924437385476,-0.649084209830639,1.17015574866291,-0.238854025364797,0.922336665047399,0.848132485846046,-0.498180773510597,1.46299676408737,-0.543289627988709,0.982766060475604,0.941928490679066,-0.483748116531301,0.187580380834788,-0.124388340863369,-0.0788072303834903,-0.156710608187353,0.989243724288328,1.22208609292021,-0.360717805818415,-0.102486249142783,1.39957298677209
